id,year,marital,age,educ,race,income,xnorcsiz,partyid,ballot
1972115,1972,3,24,12,1,-100,3,0,-100
1972116,1972,4,36,14,1,-100,3,2,-100
1972117,1972,1,25,8,2,-100,1,1,-100
1972118,1972,4,46,11,2,-100,1,3,-100
1972119,1972,1,54,2,2,-100,1,6,-100
1972120,1972,4,27,12,2,-100,1,1,-100
1972121,1972,5,20,12,2,-100,1,4,-100
1972122,1972,1,53,6,2,-100,1,0,-100
1972123,1972,1,47,3,2,-100,1,0,-100
1972124,1972,2,70,8,2,-100,1,0,-100
1972125,1972,1,69,8,1,-100,3,0,-100
1972126,1972,1,49,12,1,-100,3,0,-100
1972127,1972,1,29,16,1,-100,3,5,-100
1972128,1972,1,48,12,1,-100,3,2,-100
1972129,1972,1,67,9,1,-100,3,1,-100
1972130,1972,3,22,12,1,-100,3,0,-100
1972131,1972,1,75,6,1,-100,3,2,-100
1972132,1972,1,38,12,1,-100,3,2,-100
1972133,1972,1,46,15,1,-100,3,4,-100
1972134,1972,1,63,8,1,-100,7,1,-100
1972135,1972,1,34,11,1,-100,7,1,-100
1972136,1972,1,57,4,1,-100,7,1,-100
1972137,1972,5,22,13,1,-100,7,1,-100
1972138,1972,1,46,8,1,-100,7,7,-100
1972139,1972,1,73,11,1,-100,7,5,-100
1972140,1972,1,73,12,1,-100,7,5,-100
1972141,1972,1,53,12,1,-100,7,5,-100
1972142,1972,2,84,12,1,-100,7,1,-100
1972143,1972,1,27,14,1,-100,7,3,-100
1972144,1972,3,69,10,1,-100,7,6,-100
1972145,1972,2,82,5,1,-100,7,1,-100
1972146,1972,5,67,16,1,-100,7,1,-100
1972147,1972,1,41,12,1,-100,7,2,-100
1972148,1972,3,72,2,1,-100,7,1,-100
1972149,1972,1,38,10,1,-100,10,1,-100
1972150,1972,1,59,12,1,-100,10,5,-100
1972151,1972,1,42,12,1,-100,10,3,-100
1972152,1972,1,48,12,1,-100,10,2,-100
1972153,1972,1,59,10,1,-100,10,6,-100
1972154,1972,1,39,11,1,-100,10,0,-100
1972155,1972,1,49,12,1,-100,10,2,-100
1972156,1972,1,33,12,1,-100,6,1,-100
1972157,1972,2,53,11,1,-100,6,0,-100
1972158,1972,1,30,12,1,-100,6,3,-100
1972159,1972,1,25,12,1,-100,6,2,-100
1972160,1972,3,36,9,1,-100,6,2,-100
1972161,1972,1,30,12,1,-100,6,4,-100
1972162,1972,1,28,9,1,-100,6,4,-100
1972163,1972,1,52,8,1,-100,6,3,-100
1972164,1972,1,44,10,1,-100,6,0,-100
1972165,1972,5,50,18,1,-100,1,2,-100
1972166,1972,4,38,18,1,-100,1,3,-100
1972167,1972,5,26,18,1,-100,1,3,-100
1972168,1972,1,28,12,1,-100,1,3,-100
1972169,1972,1,81,14,1,-100,1,6,-100
1972170,1972,1,55,12,1,-100,1,2,-100
1972171,1972,1,76,12,1,-100,1,6,-100
1972172,1972,1,29,12,1,-100,1,3,-100
1972173,1972,5,19,10,1,-100,1,7,-100
1972174,1972,5,76,10,1,-100,1,5,-100
1972175,1972,5,61,19,1,-100,1,6,-100
1972176,1972,1,26,16,1,-100,1,5,-100
1972177,1972,3,39,14,1,-100,1,4,-100
1972178,1972,5,19,9,1,-100,1,7,-100
1972179,1972,1,26,16,1,-100,1,2,-100
1972180,1972,5,21,12,1,-100,1,2,-100
1972181,1972,1,45,10,2,-100,10,0,-100
1972182,1972,1,27,12,2,-100,10,2,-100
1972183,1972,2,76,1,2,-100,10,0,-100
1972184,1972,2,63,5,2,-100,10,0,-100
1972185,1972,1,52,6,2,-100,10,0,-100
1972186,1972,1,65,1,2,-100,10,0,-100
1972187,1972,1,59,2,2,-100,10,1,-100
1972188,1972,5,26,14,1,-100,3,1,-100
1972189,1972,1,41,16,1,-100,3,4,-100
1972190,1972,1,56,18,1,-100,3,3,-100
1972191,1972,1,62,15,1,-100,3,4,-100
1972192,1972,1,29,18,1,-100,3,4,-100
1972193,1972,1,25,16,1,-100,3,2,-100
1972194,1972,1,41,12,1,-100,3,6,-100
1972195,1972,5,21,12,1,-100,3,2,-100
1972196,1972,3,49,12,1,-100,1,0,-100
1972197,1972,1,38,9,1,-100,1,1,-100
1972198,1972,1,50,12,1,-100,1,1,-100
1972199,1972,1,43,12,1,-100,1,1,-100
1972200,1972,1,32,13,1,-100,1,5,-100
1972201,1972,3,55,12,1,-100,1,6,-100
1972202,1972,1,27,14,1,-100,1,7,-100
1972203,1972,1,56,13,1,-100,1,3,-100
1972204,1972,1,48,8,1,-100,1,1,-100
1972205,1972,1,56,10,1,-100,3,0,-100
1972206,1972,1,44,3,1,-100,3,0,-100
1972207,1972,3,25,9,1,-100,3,1,-100
1972208,1972,1,32,10,1,-100,3,1,-100
1972209,1972,1,33,13,1,-100,3,5,-100
1972210,1972,1,48,11,1,-100,3,1,-100
1972211,1972,1,45,12,1,-100,3,0,-100
1972212,1972,2,45,10,1,-100,3,1,-100
1972213,1972,1,72,7,1,-100,3,0,-100
1972214,1972,4,45,9,2,-100,1,0,-100
1972215,1972,4,70,6,2,-100,1,1,-100
1972216,1972,1,31,14,2,-100,1,1,-100
1972217,1972,5,20,12,2,-100,1,5,-100
1972218,1972,4,22,9,2,-100,1,7,-100
1972219,1972,1,63,4,2,-100,1,0,-100
1972220,1972,1,70,6,2,-100,1,0,-100
1972221,1972,1,68,11,1,-100,1,7,-100
1972222,1972,1,43,12,1,-100,5,5,-100
1972223,1972,1,53,17,1,-100,5,6,-100
1972224,1972,1,44,12,1,-100,5,5,-100
1972225,1972,1,37,15,1,-100,5,5,-100
1972226,1972,1,55,12,1,-100,5,5,-100
1972227,1972,1,52,14,1,-100,5,6,-100
1972228,1972,1,64,10,1,-100,5,5,-100
1972229,1972,1,-99,12,1,-100,5,5,-100
1972230,1972,5,64,11,1,-100,7,1,-100
1972231,1972,5,27,16,1,-100,7,2,-100
1972232,1972,1,28,14,1,-100,7,4,-100
1972233,1972,5,22,15,1,-100,7,4,-100
1972234,1972,1,61,14,1,-100,7,2,-100
1972235,1972,2,82,15,1,-100,7,5,-100
1972236,1972,5,22,12,1,-100,7,3,-100
1972237,1972,1,30,10,1,-100,10,3,-100
1972238,1972,1,29,12,1,-100,10,0,-100
1972239,1972,1,60,4,1,-100,10,0,-100
1972240,1972,1,39,4,1,-100,10,7,-100
1972241,1972,1,21,9,1,-100,10,1,-100
1972242,1972,1,56,7,1,-100,10,0,-100
1972243,1972,1,72,5,1,-100,10,0,-100
1972244,1972,1,61,8,1,-100,10,1,-100
1972245,1972,3,71,20,1,-100,8,1,-100
1972246,1972,1,56,9,1,-100,8,2,-100
1972247,1972,1,71,5,1,-100,8,5,-100
1972248,1972,1,48,14,1,-100,8,1,-100
1972249,1972,1,43,12,1,-100,8,4,-100
1972250,1972,5,61,12,1,-100,8,0,-100
1972251,1972,1,70,12,1,-100,8,0,-100
1972252,1972,4,48,11,1,-100,2,5,-100
1972253,1972,1,34,12,1,-100,2,3,-100
1972254,1972,5,19,12,1,-100,2,0,-100
1972255,1972,1,52,8,1,-100,2,1,-100
1972256,1972,1,30,14,1,-100,2,0,-100
1972257,1972,1,60,12,1,-100,2,2,-100
1972258,1972,1,50,16,1,-100,2,0,-100
1972259,1972,2,47,14,1,-100,2,0,-100
1972260,1972,1,50,5,1,-100,1,5,-100
1972261,1972,1,68,5,1,-100,1,0,-100
1972262,1972,3,50,12,1,-100,1,0,-100
1972263,1972,4,21,10,1,-100,1,2,-100
1972264,1972,1,72,3,1,-100,1,7,-100
1972265,1972,1,52,12,1,-100,1,5,-100
1972266,1972,1,32,12,1,-100,1,7,-100
1972267,1972,1,52,12,1,-100,1,3,-100
1972268,1972,5,60,12,1,-100,1,1,-100
1972269,1972,1,32,12,2,-100,1,5,-100
1972270,1972,2,60,9,1,-100,1,1,-100
1972271,1972,2,80,7,1,-100,1,0,-100
1972272,1972,1,58,8,2,-100,1,1,-100
1972273,1972,1,36,12,2,-100,1,5,-100
1972274,1972,1,31,12,2,-100,1,1,-100
1972275,1972,1,30,16,2,-100,1,1,-100
1972276,1972,1,63,16,1,-100,1,3,-100
1972277,1972,1,34,13,2,-100,1,3,-100
1972278,1972,1,29,12,1,-100,10,5,-100
1972279,1972,1,36,5,1,-100,10,1,-100
1972280,1972,1,39,12,1,-100,10,1,-100
1972281,1972,1,73,8,1,-100,10,0,-100
1972282,1972,1,38,10,1,-100,10,7,-100
1972283,1972,1,55,13,1,-100,10,5,-100
1972284,1972,1,30,12,1,-100,10,7,-100
1972285,1972,1,44,12,1,-100,2,1,-100
1972286,1972,1,43,8,1,-100,2,4,-100
1972287,1972,1,38,8,1,-100,2,1,-100
1972288,1972,1,44,12,1,-100,2,1,-100
1972289,1972,2,75,9,1,-100,2,2,-100
1972290,1972,1,43,18,1,-100,2,5,-100
1972291,1972,1,43,9,1,-100,4,3,-100
1972292,1972,1,27,12,1,-100,4,3,-100
1972293,1972,1,58,10,1,-100,4,2,-100
1972294,1972,1,45,12,1,-100,8,2,-100
1972295,1972,1,31,12,1,-100,8,3,-100
1972296,1972,1,23,12,1,-100,8,0,-100
1972297,1972,2,69,7,1,-100,8,1,-100
1972298,1972,4,35,8,1,-100,8,1,-100
1972299,1972,2,43,12,1,-100,8,0,-100
1972300,1972,1,56,7,1,-100,8,7,-100
1972301,1972,4,36,11,2,-100,2,0,-100
1972302,1972,1,47,6,2,-100,2,0,-100
1972303,1972,1,29,14,2,-100,2,2,-100
1972304,1972,1,60,12,2,-100,2,0,-100
1972305,1972,1,37,10,2,-100,2,1,-100
1972306,1972,1,20,12,2,-100,2,0,-100
1972307,1972,1,55,9,2,-100,2,1,-100
1972308,1972,2,71,-99,2,-100,2,1,-100
1972309,1972,1,30,11,2,-100,2,0,-100
1972310,1972,1,59,9,2,-100,9,0,-100
