Date,Temp low,Temp high,Summary,Precipitation probability ,Precipitation type,Precipitation accumulation,Icon,Image,Image URL
1/6/2025,17.42,29.3,Cloudy. Cold.,4,rain,,cloudy,02d.png,https://openweathermap.org/img/wn/02d.png
1/7/2025,15.98,26.96,Scattered clouds. Cold.,0,rain,,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/8/2025,17.24,27.32,Afternoon clouds. Cold.,0,rain,,partly-cloudy-day,02d.png,https://openweathermap.org/img/wn/02d.png
1/9/2025,16.88,27.14,Light snow. Cloudy. Cold.,50,snow,0.67,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/10/2025,23.18,36.14,Afternoon clouds. Chilly.,0,rain,,partly-cloudy-day,02d.png,https://openweathermap.org/img/wn/02d.png
1/11/2025,25.88,32.18,Light snow. Overcast. Cold.,70,snow,1.67,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/12/2025,22.64,34.7,Scattered clouds. Chilly.,0,rain,,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/13/2025,25.7,41,Broken clouds. Chilly.,2,rain,,partly-cloudy-day,02d.png,https://openweathermap.org/img/wn/02d.png
1/14/2025,23.54,34.16,Mostly sunny. Cold.,5,rain,,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/15/2025,19.76,28.76,Sunny. Cold.,0,rain,,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/16/2025,18.68,32,Increasing cloudiness. Cold.,1,rain,,partly-cloudy-day,02d.png,https://openweathermap.org/img/wn/02d.png
1/17/2025,21.56,35.6,Scattered clouds. Chilly.,21,rain,0.06,clear-day,01d.png,https://openweathermap.org/img/wn/01d.png
1/18/2025,27.14,43.52,Light rain late. Overcast. Cool.,80,rain,,rain,10d.png,https://openweathermap.org/img/wn/10d.png
1/19/2025,27.32,38.66,Snow late. Cloudy. Chilly.,99,snow,4.6,snow,13d.png,https://openweathermap.org/img/wn/13d.png
1/20/2025,15.8,28.4,Light snow early. Partly cloudy. Cold.,96,snow,1.49,snow,13d.png,https://openweathermap.org/img/wn/13d.png
